Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
4545;21100822743;PSICOLOGIA;journal;08742049, 21832471;0,122;Q4;1;4;32;227;7;30;0,23;56,75;Portugal;Associacao Portuguesa de Psicologia;2016-ongoing;Psychology (miscellaneous) (Q4)
4546;12600154757;Revista de Economia Contemporanea;journal;14159848;0,122;Q4;6;14;64;571;12;64;0,14;40,79;Brazil;Instituto de Economa da Universidade Federal do Rio de Janeiro;2008-ongoing;Economics, Econometrics and Finance (miscellaneous) (Q4)
4547;16300154732;Revue Historique;journal;353264;0,122;Q3;7;23;77;1368;14;76;0,19;59,48;France;Presses Universitaires de France;1969, 1971, 1978-1981, 1984, 1986-1987, 2001-ongoing;History (Q3)
4548;19600157204;Studia Universitatis Vasile Goldis Arad, Seria Stiintele Vietii;journal;18427863, 15842363;0,122;Q4;6;1;108;20;16;108;0,15;20;Romania;"Universitatea De Vest Vasile Goldis""""";2009-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Medicine (miscellaneous) (Q4)"
4549;21100780699;A+BE Architecture and the Built Environment;book series;22147233, 22123202;0,121;Q3;2;0;49;0;5;47;0,11;0;Netherlands;TU Delft;2016-ongoing;"Architecture (Q3); History (Q3); Building and Construction (Q4); Urban Studies (Q4)"
4550;21100329307;Acta et Commentationes Universitatis Tartuensis de Mathematica;journal;14062283, 22284699;0,121;Q4;3;13;47;229;6;47;0,12;17,62;Estonia;Tartu University Press;2014-ongoing;Mathematics (miscellaneous) (Q4)
4551;21100802910;Arterial Hypertension;journal;24496170, 24496162;0,121;Q4;9;25;132;763;20;127;0,12;30,52;Poland;Via Medica;2015-ongoing;"Cardiology and Cardiovascular Medicine (Q4); Endocrinology, Diabetes and Metabolism (Q4); Internal Medicine (Q4)"
4552;21100317201;Cirugia Cardiovascular;journal;11340096;0,121;Q4;5;62;252;1051;25;232;0,12;16,95;Netherlands;Elsevier BV;2012-ongoing;"Cardiology and Cardiovascular Medicine (Q4); Surgery (Q4)"
4553;21100775648;Cogent Arts and Humanities;journal;23311983;0,121;Q4;3;10;138;284;47;136;0,38;28,4;United Kingdom;Cogent OA;2014-ongoing;Arts and Humanities (miscellaneous) (Q4)
4554;21100778885;Environmental Research, Engineering and Management;journal;20292139, 13921649;0,121;Q4;2;25;59;454;8;50;0,17;18,16;Lithuania;Kaunas University of Technology;2016-ongoing;"Environmental Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4); Renewable Energy, Sustainability and the Environment (Q4); Waste Management and Disposal (Q4)"
4555;21100198726;Etnoloska Tribina;journal;3511944;0,121;Q3;3;11;33;481;11;28;0,37;43,73;Croatia;Croatian Ethnological Society;2011-ongoing;"Cultural Studies (Q3); Anthropology (Q4)"
4556;21100203941;Forum of Clinical Oncology;journal;1792345X, 1792362X;0,121;Q4;3;0;32;0;3;31;0;0;Greece;Hellenic Society of Medical Oncology (He.S.M.O.);2012-ongoing;Oncology (Q4)
4557;17300154704;International Journal of Mathematical Analysis;journal;13128876;0,121;Q4;20;0;368;0;69;368;0,2;0;Bulgaria;Hikari Ltd.;2009-2016 (cancelled);Mathematics (miscellaneous) (Q4)
4558;21100854837;JA Clinical Reports;journal;23639024;0,121;Q4;1;0;4;0;1;2;0,5;0;Germany;Springer Verlag;2016-ongoing;Anesthesiology and Pain Medicine (Q4)
4559;21100826311;Journal of Applied Biotechnology Reports;journal;23221186, 24235784;0,121;Q4;5;14;87;527;29;87;0,19;37,64;Iran;Baqiyatallah University of Medical Sciences;2014-ongoing;Biotechnology (Q4)
4560;21100851336;Manuscrito;journal;01006045, 2317630X;0,121;Q3;1;13;33;415;4;31;0,13;31,92;Brazil;Universidade Estadual de Campinas - UNICAMP, Centro de Logica, Epistemologia e Historia da Ciencia;2017-ongoing;Philosophy (Q3)
4561;18443;Medicinski pregled;journal;18207383, 00258105;0,121;Q4;14;0;124;0;42;120;0,17;0;Serbia;Drustvo lekara Vojvodine;1950-1955, 1964-ongoing;Medicine (miscellaneous) (Q4)
4562;21100410000;Meta;journal;20673655;0,121;Q3;3;10;73;214;6;72;0,09;21,4;Romania;Alexandru Ioan Cuza - University of Iasi;2009-ongoing;Philosophy (Q3)
